"","Date","Year","Month","New_users_transactions","Returning_users_transactions","New_Users_Revenue","Returning_Users_Revenue"
"183",2015-05-02,2015,"May",0,0,0,0
"184",2015-05-03,2015,"May",0,0,0,0
"185",2015-05-04,2015,"May",0,0,0,0
"186",2015-05-05,2015,"May",0,0,0,0
"187",2015-05-06,2015,"May",0,0,0,0
"188",2015-05-07,2015,"May",0,0,0,0
"189",2015-05-08,2015,"May",0,0,0,0
"190",2015-05-09,2015,"May",0,0,0,0
"191",2015-05-10,2015,"May",0,0,0,0
"192",2015-05-11,2015,"May",0,0,0,0
"193",2015-05-12,2015,"May",0,0,0,0
"194",2015-05-13,2015,"May",0,0,0,0
"195",2015-05-14,2015,"May",0,0,0,0
"196",2015-05-15,2015,"May",0,0,0,0
"197",2015-05-16,2015,"May",0,0,0,0
"198",2015-05-17,2015,"May",0,0,0,0
"199",2015-05-18,2015,"May",0,0,0,0
"200",2015-05-19,2015,"May",0,0,0,0
"201",2015-05-20,2015,"May",0,0,0,0
"202",2015-05-21,2015,"May",0,0,0,0
"203",2015-05-22,2015,"May",0,0,0,0
"204",2015-05-23,2015,"May",0,0,0,0
"205",2015-05-24,2015,"May",0,0,0,0
"206",2015-05-25,2015,"May",0,0,0,0
"207",2015-05-26,2015,"May",0,0,0,0
"208",2015-05-27,2015,"May",0,0,0,0
"209",2015-05-28,2015,"May",0,0,0,0
"210",2015-05-29,2015,"May",0,0,0,0
"211",2015-05-30,2015,"May",0,0,0,0
"212",2015-05-31,2015,"May",0,0,0,0
"213",2015-06-01,2015,"June",0,0,0,0
"214",2015-06-02,2015,"June",0,0,0,0
"215",2015-06-03,2015,"June",0,0,0,0
"216",2015-06-04,2015,"June",0,0,0,0
"217",2015-06-05,2015,"June",0,0,0,0
"218",2015-06-06,2015,"June",0,0,0,0
"219",2015-06-07,2015,"June",0,0,0,0
"220",2015-06-08,2015,"June",0,0,0,0
"221",2015-06-09,2015,"June",0,0,0,0
"222",2015-06-10,2015,"June",0,0,0,0
"223",2015-06-11,2015,"June",0,0,0,0
"224",2015-06-12,2015,"June",0,0,0,0
